v8-version,6,1,534,50,0
code-creation,Builtin,5,190560,0x7bdf592c20,459,"ToObject"
code-creation,Stub,3,190563,0x7bdf592e00,2258,"RecordWriteStub"
code-creation,Stub,3,190566,0x7bdf5936e0,433,"ArrayConstructorStub"
code-creation,Stub,3,190570,0x7bdf5938a0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190572,0x7bdf593a00,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190576,0x7bdf593b60,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190579,0x7bdf593ca0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190582,0x7bdf593de0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,190585,0x7bdf593f20,121,"Abort"
code-creation,Stub,3,190588,0x7bdf593fa0,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190591,0x7bdf5941a0,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190594,0x7bdf594380,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190597,0x7bdf594560,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190600,0x7bdf594720,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,190603,0x7bdf5948e0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,190606,0x7bdf594a20,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,190609,0x7bdf594be0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,190613,0x7bdf594ce0,249,"CallBoundFunction"
code-creation,Builtin,5,190616,0x7bdf594de0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,190619,0x7bdf594f60,2304,"RecordWriteStub"
code-creation,Stub,3,190622,0x7bdf595860,2288,"RecordWriteStub"
code-creation,Stub,3,190625,0x7bdf596160,2262,"RecordWriteStub"
code-creation,Stub,3,190628,0x7bdf596a40,2300,"RecordWriteStub"
code-creation,Handler,4,190631,0x7bdf597340,256,"An IC handler from the snapshot"
code-creation,Stub,3,190634,0x7bdf597440,2299,"RecordWriteStub"
code-creation,Stub,3,190637,0x7bdf597d40,978,"RecordWriteStub"
code-creation,Stub,3,190640,0x7bdf598120,2258,"RecordWriteStub"
code-creation,Stub,3,190643,0x7bdf598a00,2262,"RecordWriteStub"
code-creation,Stub,3,190646,0x7bdf5992e0,189,"DoubleToIStub"
code-creation,Stub,3,190649,0x7bdf5993a0,2278,"RecordWriteStub"
code-creation,Handler,4,190652,0x7bdf599ca0,308,"An IC handler from the snapshot"
code-creation,Stub,3,190655,0x7bdf599de0,2300,"RecordWriteStub"
code-creation,Stub,3,190658,0x7bdf59a6e0,2261,"RecordWriteStub"
code-creation,Stub,3,190662,0x7bdf59afc0,2261,"RecordWriteStub"
code-creation,Stub,3,190664,0x7bdf59b8a0,1420,"RecordWriteStub"
code-creation,Stub,3,190668,0x7bdf59be40,2334,"RecordWriteStub"
code-creation,Stub,3,190685,0x7bdf59c760,982,"RecordWriteStub"
code-creation,Stub,3,190689,0x7bdf59cb40,2292,"RecordWriteStub"
code-creation,Stub,3,190693,0x7bdf59d440,2262,"RecordWriteStub"
code-creation,Stub,3,190696,0x7bdf59dd20,982,"RecordWriteStub"
code-creation,Stub,3,190699,0x7bdf59e100,2246,"RecordWriteStub"
code-creation,Stub,3,190702,0x7bdf59e9e0,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,190705,0x7bdf59ebc0,183,"DoubleToIStub"
code-creation,Stub,3,190708,0x7bdf59ec80,2308,"RecordWriteStub"
code-creation,Stub,3,190711,0x7bdf59f5a0,2291,"RecordWriteStub"
code-creation,Stub,3,190714,0x7bdf59fea0,2262,"RecordWriteStub"
